,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"161,472,416","+395,655","3,351,188","+6,379","140,292,568","+443,298","17,828,660","104,635","20,715",429.9,,,,All,"
",,,,,
1,1,USA,"33,590,587","+4,451","597,864 ",+79,"26,621,706","+1,477","6,371,017","8,702","100,971","1,797","461,566,957","1,387,441","332,674,970 ",North America,10,556,1,13,0.2,"19,151"
2,2,India,"23,943,878","+241,046","261,053 ","+2,702","19,983,310","+254,874","3,699,515","8,944","17,205",188,"309,448,585","222,356","1,391,679,242 ",Asia,58,"5,331",4,173,2,"2,658"
3,3,Brazil,"15,361,686",,"428,256 ",,"13,924,217",,"1,009,213","8,318","71,830","2,002","46,970,130","219,630","213,860,730 ",South America,14,499,5,,,"4,719"
4,4,France,"5,821,668",,"107,119 ",,"4,960,097",,"754,452","4,583","89,019","1,638","79,684,856","1,218,458","65,398,090 ",Europe,11,611,1,,,"11,536"
5,5,Turkey,"5,072,462",,"43,821 ",,"4,801,291",,"227,350","2,827","59,592",515,"50,058,648","588,097","85,119,750 ",Asia,17,"1,942",2,,,"2,671"
6,6,Russia,"4,913,439","+8,380","114,723 ",+392,"4,527,878","+9,349","270,838","2,300","33,656",786,"132,400,000","906,921","145,988,463 ",Europe,30,"1,273",1,57,3,"1,855"
7,7,UK,"4,444,631","+2,657","127,651 ",+11,"4,258,298","+2,195","58,682",136,"65,177","1,872","169,007,195","2,478,354","68,193,314 ",Europe,15,534,0,39,0.2,861
8,8,Italy,"4,139,160","+8,085","123,745 ",+201,"3,669,407","+14,295","346,008","1,893","68,546","2,049","62,107,222","1,028,520","60,385,062 ",Europe,15,488,1,134,3,"5,730"
9,9,Spain,"3,592,751",,"79,208 ",,"3,291,156",,"222,387","1,991","76,817","1,694","47,213,067","1,009,465","46,770,406 ",Europe,13,590,1,,,"4,755"
10,10,Germany,"3,569,249","+11,101","86,189 ",+180,"3,240,300","+20,000","242,760","5,049","42,483","1,026","58,093,759","691,469","84,014,947 ",Europe,24,975,1,132,2,"2,889"
11,11,Argentina,"3,215,572",,"68,807 ",,"2,869,341",,"277,424","5,394","70,590","1,510","12,066,534","264,892","45,552,720 ",South America,14,662,4,,,"6,090"
12,12,Colombia,"3,048,719",,"79,261 ",,"2,859,627",,"109,831","6,582","59,372","1,544","15,639,108","304,562","51,349,445 ",South America,17,648,3,,,"2,139"
13,13,Poland,"2,845,762","+3,730","71,021 ",+342,"2,584,751","+2,232","189,990","1,772","75,263","1,878","15,017,415","397,172","37,810,825 ",Europe,13,532,3,99,9,"5,025"
14,14,Iran,"2,722,007","+14,246","76,231 ",+297,"2,179,890","+17,803","465,886","5,481","32,055",898,"17,616,446","207,455","84,917,119 ",Asia,31,"1,114",5,168,3,"5,486"
15,15,Mexico,"2,371,483","+3,090","219,590 ",+267,"1,893,236","+2,184","258,657","4,798","18,228","1,688","6,791,913","52,206","130,098,135 ",North America,55,592,19,24,2,"1,988"
16,16,Ukraine,"2,135,886","+6,813","47,333 ",+346,"1,816,643","+19,507","271,910",177,"49,093","1,088","9,721,036","223,438","43,506,626 ",Europe,20,919,4,157,8,"6,250"
17,17,Peru,"1,865,639",,"64,898 ",,"1,720,665",,"80,076","2,670","55,913","1,945","11,832,582","354,624","33,366,534 ",South America,18,514,3,,,"2,400"
