,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
1,1,USA,"33,750,602","+3,163","600,609 ",+76,"27,203,980","+1,671","5,946,013","7,797","101,444","1,805","467,250,744","1,404,415","332,701,437 ",North America,10,554,1,10,0.2,"17,872"
2,2,India,"25,457,976","+230,006","282,547 ","+3,796","21,925,253","+335,250","3,250,176","8,944","18,291",203,"318,292,881","228,681","1,391,864,443 ",Asia,55,"4,926",4,165,3,"2,335"
3,3,Brazil,"15,661,106",,"436,862 ",,"14,152,433",,"1,071,811","8,318","73,223","2,043","47,073,060","220,090","213,881,340 ",South America,14,490,5,,,"5,011"
4,4,France,"5,881,137",,"107,812 ",,"5,152,370",,"620,955","4,186","89,926","1,649","81,694,063","1,249,144","65,400,058 ",Europe,11,607,1,,,"9,495"
5,5,Turkey,"5,127,548",,"44,983 ",,"4,961,120",,"121,445","2,326","60,230",528,"51,076,732","599,970","85,132,141 ",Asia,17,"1,893",2,,,"1,427"
6,6,Russia,"4,957,756","+8,183","116,575 ",+364,"4,572,226","+8,972","268,955","2,300","33,960",799,"134,000,000","917,875","145,989,315 ",Europe,29,"1,252",1,56,2,"1,842"
7,7,UK,"4,452,756",,"127,684 ",,"4,279,267",,"45,805",124,"65,291","1,872","170,156,171","2,495,025","68,198,176 ",Europe,15,534,0,,,672
8,8,Italy,"4,167,025","+4,452","124,497 ",+201,"3,727,220","+11,831","315,308","1,689","69,009","2,062","63,284,455","1,048,036","60,383,853 ",Europe,14,485,1,74,3,"5,222"
9,9,Spain,"3,615,860",,"79,432 ",,"3,333,587",,"202,841","1,836","77,310","1,698","48,928,535","1,046,138","46,770,653 ",Europe,13,589,1,,,"4,337"
10,10,Germany,"3,609,912","+1,620","86,943 ",+73,"3,320,300","+19,600","202,669","4,015","42,966","1,035","58,093,759","691,439","84,018,598 ",Europe,23,966,1,19,0.9,"2,412"
11,11,Argentina,"3,335,965",,"71,027 ",,"2,973,267",,"291,671","5,690","73,224","1,559","12,490,822","274,172","45,558,380 ",South America,14,641,4,,,"6,402"
12,12,Colombia,"3,131,410",,"81,809 ",,"2,931,280",,"118,321","6,582","60,974","1,593","15,957,624","310,720","51,356,849 ",South America,16,628,3,,,"2,304"
13,13,Poland,"2,856,924","+1,734","71,920 ",+245,"2,609,216","+3,513","175,788","1,418","75,559","1,902","15,184,082","401,586","37,810,261 ",Europe,13,526,2,46,6,"4,649"
14,14,Iran,"2,779,415","+13,930","77,532 ",+310,"2,258,046","+16,023","443,837","5,173","32,725",913,"18,285,393","215,295","84,931,806 ",Asia,31,"1,095",5,164,4,"5,226"
15,15,Mexico,"2,382,745",+822,"220,489 ",+56,"1,903,494","+2,172","258,762","4,798","18,312","1,695","6,856,267","52,693","130,116,629 ",North America,55,590,19,6,0.4,"1,989"
16,16,Ukraine,"2,160,095","+4,095","48,469 ",+285,"1,882,344","+17,751","229,282",177,"49,654","1,114","9,851,754","226,461","43,503,055 ",Europe,20,898,4,94,7,"5,270"
17,17,Peru,"1,893,334",,"66,471 ",,"1,720,665",,"106,198","2,665","56,733","1,992","12,118,928","363,138","33,372,810 ",South America,18,502,3,,,"3,182"
18,18,Indonesia,"1,748,230","+4,185","48,477 ",+172,"1,612,239","+5,628","87,514",,"6,333",176,"15,653,438","56,705","276,051,328 ",Asia,158,"5,694",18,15,0.6,317
19,19,Czechia,"1,654,219","+1,126","29,933 ",+8,"1,599,881",+101,"24,405",239,"154,220","2,791","21,701,619","2,023,199","10,726,389 ",Europe,6,358,0,105,0.7,"2,275"
20,20,South Africa,"1,615,485",,"55,260 ",,"1,526,638",,"33,587",546,"26,942",922,"11,134,553","185,694","59,961,755 ",Africa,37,"1,085",5,,,560
21,21,Netherlands,"1,606,319","+5,326","17,473 ",+17,"1,386,377","+8,498","202,469",649,"93,564","1,018","13,524,699","787,781","17,168,090 ",Europe,11,983,1,310,1.0,"11,793"
22,22,Canada,"1,336,275","+2,167","25,008 ",+25,"1,244,848","+3,348","66,419","1,344","35,136",658,"33,592,273","883,275","38,031,520 ",North America,28,"1,521",1,57,0.7,"1,746"
23,23,Chile,"1,295,862","+3,766","27,965 ",+31,"1,231,047","+5,201","36,850","2,979","67,284","1,452","14,043,876","729,185","19,259,697 ",South America,15,689,1,196,2,"1,913"
24,24,Philippines,"1,154,388","+4,487","19,372 ",+110,"1,082,725","+6,383","52,291","1,819","10,414",175,"12,660,106","114,205","110,854,565 ",Asia,96,"5,722",9,40,1.0,472
25,25,Iraq,"1,146,948","+4,023","16,029 ",+34,"1,056,885","+6,198","74,034",475,"27,969",391,"9,929,858","242,144","41,008,092 ",Asia,36,"2,558",4,98,0.8,"1,805"
26,26,Romania,"1,072,972",+681,"29,662 ",+91,"1,027,412","+1,113","15,898",716,"56,103","1,551","8,721,739","456,039","19,124,987 ",Europe,18,645,2,36,5,831
27,27,Sweden,"1,047,143",,"14,301 ",+38,"899,766","+4,006","133,076",306,"103,122","1,408","9,481,745","933,760","10,154,374 ",Europe,10,710,1,,4,"13,105"
28,28,Belgium,"1,032,895",+972,"24,723 ",+14,"910,652",,"97,520",616,"88,784","2,125","13,306,670","1,143,795","11,633,788 ",Europe,11,471,1,84,1,"8,382"
29,29,Pakistan,"882,928","+2,566","19,752 ",+135,"795,511","+2,989","67,665","4,361","3,931",88,"12,510,568","55,694","224,629,527 ",Asia,254,"11,372",18,11,0.6,301
