,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
0,USA,33554277,4162,597052,106,26558619,481,6398606,8775,100864,1795,460458760,1384132,332669677,North America,2021-05-12
1,India,23588999,248573,256940,2715,19611259,234609,3720800,8944,16950,185,307583991,221022,1391642201,Asia,2021-05-12
2,Brazil,15285048,0,425711,0,13847191,0,1012146,8318,71473,1991,46834128,218998,213856608,South America,2021-05-12
3,France,5800170,0,106935,0,4951745,0,741490,4743,88691,1635,79617249,1217432,65397697,Europe,2021-05-12
4,Turkey,5059433,0,43589,0,4766124,0,249720,2975,59441,512,49830456,585433,85117272,Asia,2021-05-12
5,Russia,4905059,8217,114331,355,4518529,8614,272199,2300,33599,783,132100000,904867,145988292,Europe,2021-05-12
6,UK,4441975,2284,127640,11,4256103,2736,58232,138,65139,1872,167749070,2459940,68192342,Europe,2021-05-12
7,Italy,4131078,7852,123544,262,3655112,19023,352422,1992,68412,2046,61820196,1023762,60385304,Europe,2021-05-12
8,Spain,3586333,0,79100,0,3283915,0,223318,2038,76680,1691,47213067,1009466,46770357,Europe,2021-05-12
9,Germany,3551550,7235,85921,164,3220300,23400,245329,5049,42273,1023,56836969,676516,84014217,Europe,2021-05-12
10,Argentina,3191097,0,68311,0,2854364,0,268422,5375,70055,1500,11983959,263085,45551588,South America,2021-05-12
11,Colombia,3031726,0,78771,0,2848153,0,104802,6582,59043,1534,15564899,303126,51347964,South America,2021-05-12
12,Poland,2842339,4255,70679,343,2582519,2274,189141,1859,75172,1869,14960240,395659,37810938,Europe,2021-05-12
13,Iran,2707761,16409,75934,366,2162087,17890,469740,5501,31888,894,17480333,205859,84914182,Asia,2021-05-12
14,Mexico,2368393,1897,219323,234,1891052,2414,258018,4798,18205,1686,6774089,52071,130094436,North America,2021-05-12
15,Ukraine,2129073,4538,46987,356,1797136,19766,284950,177,48936,1080,9682286,222544,43507340,Europe,2021-05-12
16,Peru,1858239,0,64691,0,1720665,0,72883,2660,55694,1939,11761084,352495,33365278,South America,2021-05-12
17,Indonesia,1728204,4608,47617,152,1584878,4671,95709,0,6262,173,15410887,55836,276003941,Asia,2021-05-12
18,Czechia,1648667,1673,29787,15,1586400,98,32480,345,153707,2777,20529829,1914013,10726065,Europe,2021-05-12
19,South Africa,1599272,0,54896,0,1519258,0,25118,546,26677,916,10931906,182352,59949498,Africa,2021-05-12
20,Netherlands,1577754,6356,17399,16,1339957,6631,220398,726,91904,1013,13171698,767247,17167470,Europe,2021-05-12
21,Canada,1302637,3065,24756,42,1201092,4273,76789,1331,34256,651,32867352,864337,38026101,North America,2021-05-12
22,Chile,1260448,3902,27384,28,1199432,5505,33632,3036,65454,1422,13689304,710874,19257010,South America,2021-05-12
23,Iraq,1127580,4666,15855,21,1023584,5417,88141,488,27506,387,9781666,238616,40993259,Asia,2021-05-12
24,Philippines,1118359,4842,18714,94,1046431,8312,53214,750,10091,169,12416105,112028,110830652,Asia,2021-05-12
25,Romania,1068817,930,29233,98,1018642,1595,20942,874,55880,1528,8558927,447477,19127080,Europe,2021-05-12
26,Sweden,1027934,0,14267,36,862235,3420,151432,373,101241,1405,8798383,866550,10153344,Europe,2021-05-12
27,Belgium,1020332,2456,24609,26,897904,9358,97819,710,87710,2115,13061760,1122823,11632963,Europe,2021-05-12
28,Pakistan,867438,2881,19210,104,771692,5200,76536,4707,3863,86,12310875,54822,224559097,Asia,2021-05-12
29,Portugal,840008,0,16994,0,801306,0,21708,71,82588,1671,10967514,1078301,10171109,Europe,2021-05-12
30,Israel,839022,22,6378,0,831794,56,850,77,91222,693,14434897,1569422,9197590,Asia,2021-05-12
31,Hungary,793784,905,28888,96,592440,8638,172456,361,82349,2997,5560617,576873,9639232,Europe,2021-05-12
32,Bangladesh,777397,1140,12045,40,718249,2928,47103,1120,4680,73,5677222,34180,166096704,Asia,2021-05-12
33,Jordan,722336,483,9180,29,708854,1552,4302,729,70198,892,6893261,669898,10290015,Asia,2021-05-12
34,Serbia,703497,1046,6611,17,669310,2366,27576,104,80796,759,3964964,455374,8707058,Europe,2021-05-12
35,Switzerland,677210,1539,10724,3,612471,3061,54015,190,77760,1231,7216520,828632,8708956,Europe,2021-05-12
36,Japan,651702,6242,11064,123,568558,4430,72080,1189,5166,88,12700938,100687,126143068,Asia,2021-05-12
37,Austria,633960,1194,10428,15,609666,1954,13866,344,70047,1152,35383018,3909495,9050535,Europe,2021-05-12
38,UAE,540646,1508,1619,2,520882,1477,18145,0,54103,162,46401225,4643454,9992825,Asia,2021-05-12
39,Lebanon,533685,0,7527,0,489319,0,36839,403,78493,1107,4136091,608328,6799116,Asia,2021-05-12
40,Morocco,514164,0,9083,0,501404,0,3677,108,13790,244,6348840,170276,37285573,Africa,2021-05-12
41,Malaysia,453222,4765,1761,39,411360,3124,40101,469,13851,54,10257115,313469,32721343,Asia,2021-05-12
42,Saudi Arabia,428369,0,7098,0,412102,0,9169,1358,12143,201,17669879,500875,35278014,Asia,2021-05-12
43,Nepal,422349,9238,4252,168,316463,4444,101634,0,14276,144,2693088,91029,29585051,Asia,2021-05-12
44,Bulgaria,412157,0,17104,0,353619,0,41434,535,59704,2478,2620183,379552,6903351,Europe,2021-05-12
45,Ecuador,402595,0,19286,0,342878,0,40431,616,22526,1079,1343901,75194,17872435,South America,2021-05-12
46,Slovakia,386540,404,12096,19,369103,656,5341,242,70770,2215,2740888,501818,5461917,Europe,2021-05-12
47,Belarus,371405,896,2661,9,362112,1196,6632,0,39316,282,6028936,638209,9446649,Europe,2021-05-12
48,Greece,369554,2478,11211,70,331819,0,26524,707,35605,1080,8645362,832951,10379193,Europe,2021-05-12
49,Panama,368368,0,6282,0,357714,0,4372,105,84239,1437,2477351,566522,4372910,North America,2021-05-12
50,Kazakhstan,348308,1811,3964,16,304673,2816,39671,221,18362,209,10535853,555418,18969219,Asia,2021-05-12
51,Croatia,347094,1471,7589,40,331388,1059,8117,215,85000,1858,1898906,465025,4083449,Europe,2021-05-12
52,Azerbaijan,328159,558,4726,13,309771,1454,13662,0,32117,463,3353167,328176,10217588,Asia,2021-05-12
53,Georgia,325665,1409,4363,27,304935,1256,16367,0,81772,1096,4441181,1115153,3982576,Asia,2021-05-12
54,Tunisia,322998,0,11556,0,281554,0,29888,489,27087,969,1371995,115055,11924673,Africa,2021-05-12
55,Bolivia,320209,0,13258,0,262970,0,43981,158,27115,1123,1255636,106325,11809425,South America,2021-05-12
56,Palestine,302777,0,3393,0,287932,0,11452,78,58197,652,1781690,342458,5202653,Asia,2021-05-12
57,Paraguay,302061,0,7284,0,250502,0,44275,581,41909,1011,1163740,161460,7207627,South America,2021-05-12
58,Kuwait,287199,0,1660,0,272123,0,13416,198,66410,384,2421222,559865,4324653,Asia,2021-05-12
59,Costa Rica,273714,0,3456,0,216191,0,54067,459,53314,673,1064094,207263,5134028,North America,2021-05-12
60,Dominican Republic,273497,688,3554,4,232381,56,37562,242,24997,325,1456859,133153,10941214,North America,2021-05-12
61,Ethiopia,263672,0,3911,0,212567,0,47194,694,2246,33,2628952,22394,117393244,Africa,2021-05-12
62,Denmark,262159,1246,2499,0,247855,952,11805,29,45124,430,44483648,7656746,5809733,Europe,2021-05-12
63,Lithuania,261128,1230,4059,3,235265,1042,21804,166,97092,1509,3027000,1125493,2689489,Europe,2021-05-12
