,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33550115,34904,596946,743,26558138,6395031,8741,100851,1794,460400486,1383957,332669677,North America
2,India,23340426,348499,254225,4200,19376650,3709551,8944,16772,183,305600187,219597,1391642201,Asia
3,Brazil,15285048,71018,425711,2275,13847191,1012146,8318,71473,1991,46834128,218998,213856608,South America
4,France,5800170,19791,106935,240,4951985,741250,4743,88691,1635,79617249,1217432,65397697,Europe
5,Turkey,5059433,14497,43589,278,4766124,249720,2975,59441,512,49830456,585433,85117272,Europe
6,Russia,4896842,8115,113976,329,4509915,272951,2300,33543,781,131900000,903497,145988292,Asia
7,UK,4439691,2474,127629,20,4253367,58695,143,65105,1872,166942214,2448108,68192342,Europe
8,Italy,4123226,6942,123282,251,3636089,363855,2056,68282,2042,61513452,1018682,60385304,Europe
9,Spain,3586333,4941,79100,205,3283915,223318,2038,76680,1691,47213067,1009466,46770357,Europe
10,Germany,3544315,8961,85757,276,3196900,261658,5049,42187,1021,56836969,676516,84014217,Europe
11,Argentina,3191097,25976,68311,490,2854364,268422,5375,70055,1500,11983959,263085,45551588,South America
12,Colombia,3031726,16425,78771,429,2848153,104802,6582,59043,1534,15564899,303126,51347964,Europe
13,Poland,2838084,3002,70336,319,2580245,187503,1959,75060,1860,14894006,393907,37810938,South America
14,Iran,2691352,18133,75568,307,2144197,471587,5522,31695,890,17343586,204248,84914182,Asia
15,Mexico,2366496,704,219089,104,1888638,258769,4798,18191,1684,6761179,51971,130094436,North America
16,Ukraine,2124535,2208,46631,119,1777370,300534,177,48832,1072,9682286,222544,43507340,Europe
17,Peru,1858239,4869,64691,318,1720665,72883,2660,55694,1939,11761084,352495,33365278,South America
18,Indonesia,1723596,5021,47465,247,1580207,95924,0,6245,172,15347629,55607,276003941,Asia
19,Czechia,1646994,1542,29772,28,1586302,30920,349,153551,2776,20283907,1891086,10726065,Europe
20,South Africa,1599272,1548,54896,71,1519258,25118,546,26677,916,10931906,182352,59949498,Africa
21,Netherlands,1571398,5518,17383,44,1333326,220689,740,91533,1013,13171698,767247,17167470,Europe
22,Canada,1299572,5386,24714,32,1196819,78039,1331,34176,650,32867352,864337,38026101,North America
23,Chile,1256546,3738,27356,38,1193927,35263,3102,65251,1421,13660902,709399,19257010,South America
24,Iraq,1122914,5287,15834,34,1018167,88913,502,27393,386,9745496,237734,40993259,Europe
25,Philippines,1113517,4704,18620,59,1038119,56778,750,10047,168,12330600,111256,110830652,Asia
26,Romania,1067887,1156,29135,101,1017047,21705,919,55831,1523,8524384,445671,19127080,Asia
27,Sweden,1027934,6333,14231,1,858815,154888,374,101241,1402,8798383,866550,10153344,Europe
28,Belgium,1017876,1267,24583,32,888546,104747,711,87499,2113,13011431,1118497,11632963,Europe
29,Pakistan,864557,3084,19106,113,766492,78959,4859,3850,85,12267310,54628,224559097,Asia
30,Portugal,840008,268,16994,1,801306,21708,71,82588,1671,10967514,1078301,10171109,Europe
31,Israel,839000,43,6378,0,831738,884,80,91220,693,14398993,1565518,9197590,Asia
32,Hungary,792879,493,28792,99,583802,180285,379,82255,2987,5545305,575285,9639232,Europe
33,Bangladesh,776257,1230,12005,33,715321,48931,1117,4674,72,5661926,34088,166096704,Asia
34,Jordan,721853,855,9151,26,707302,5400,729,70151,889,6877657,668382,10290015,Asia
35,Serbia,702451,1125,6594,18,666944,28913,115,80676,757,3952559,453949,8707058,Europe
36,Switzerland,675671,1375,10721,6,609410,55540,190,77583,1231,7179360,824365,8708956,Europe
37,Japan,645460,4581,10941,65,564128,70391,1176,5117,87,12602793,99909,126143068,Europe
38,Austria,632766,870,10413,21,607712,14641,366,69915,1151,35003230,3867532,9050535,Asia
39,UAE,539138,1614,1617,2,519405,18116,0,53953,162,46190863,4622403,9992825,Asia
40,Lebanon,533685,544,7527,20,489319,36839,403,78493,1107,4136091,608328,6799116,Africa
41,Morocco,514164,242,9083,6,501404,3677,108,13790,244,6348840,170276,37285573,Asia
42,Malaysia,448457,3973,1722,22,408236,38499,453,13705,53,10169657,310796,32721343,Asia
43,Saudi Arabia,428369,999,7098,13,412102,9169,1358,12143,201,17669879,500875,35278014,Europe
44,Nepal,413111,9317,4084,225,312019,97008,0,13964,138,2672726,90340,29585051,Asia
45,Bulgaria,412157,877,17104,59,353619,41434,535,59704,2478,2620183,379552,6903351,Europe
46,Ecuador,402595,535,19286,44,342878,40431,616,22526,1079,1343901,75194,17872435,South America
47,Slovakia,386136,350,12077,26,368447,5612,235,70696,2211,2734112,500577,5461917,North America
48,Belarus,370509,742,2652,10,360916,6941,0,39221,281,6015054,636739,9446649,Europe
49,Panama,368368,460,6282,5,357714,4372,105,84239,1437,2477351,566522,4372910,Europe
50,Greece,367076,3172,11141,52,331819,24116,732,35367,1073,8582255,826871,10379193,Europe
51,Kazakhstan,346497,1766,3948,20,301857,40692,221,18266,208,10535853,555418,18969219,Asia
52,Croatia,345623,876,7549,46,330329,7745,217,84640,1849,1890133,462877,4083449,Asia
53,Azerbaijan,327601,514,4713,15,308317,14571,0,32062,461,3346012,327476,10217588,Asia
54,Georgia,324256,1788,4336,31,303679,16241,0,81419,1089,4400906,1105040,3982576,South America
55,Tunisia,322998,1161,11556,88,281554,29888,489,27087,969,1371995,115055,11924673,Asia
56,Bolivia,320209,1599,13258,30,262970,43981,158,27115,1123,1255636,106325,11809425,Africa
57,Palestine,302777,528,3393,15,287932,11452,78,58197,652,1781690,342458,5202653,Asia
58,Paraguay,302061,2377,7284,75,250502,44275,581,41909,1011,1163740,161460,7207627,North America
59,Kuwait,287199,1153,1660,8,272123,13416,198,66410,384,2421222,559865,4324653,Asia
60,Costa Rica,273714,2236,3456,26,216191,54067,459,53314,673,1064094,207263,5134028,South America
61,Dominican Republic,272809,701,3550,10,232325,36934,228,24934,324,1452665,132770,10941214,Europe
62,Ethiopia,263672,552,3911,14,212567,47194,694,2246,33,2628952,22394,117393244,Africa
63,Denmark,260913,925,2499,2,246903,11511,32,44910,430,43813889,7541463,5809733,Europe
64,Lithuania,259898,1262,4056,8,234223,21619,166,96635,1508,3003100,1116606,2689489,Europe
65,Ireland,253567,378,4929,8,236024,12614,34,50865,989,4690141,940836,4985076,Europe
66,Moldova,252949,151,5970,12,243877,3102,170,62831,1483,1023504,254230,4025892,Europe
67,Slovenia,246723,489,4302,3,233788,8633,132,118663,2069,1210718,582304,2079184,North America
68,Egypt,239740,1180,14033,61,178241,47466,90,2306,135,2715258,26112,103984787,Africa
69,Guatemala,236266,962,7776,40,215803,12687,5,12982,427,1314516,72230,18198980,North America
70,Uruguay,225847,2977,3208,37,197085,25554,525,64823,921,1934871,555347,3484077,Asia
71,Honduras,220988,803,5701,36,81639,133648,535,22012,568,656966,65438,10039448,North America
72,Armenia,219596,243,4256,7,205675,9665,0,73988,1434,1019359,343449,2968005,Asia
73,Qatar,211732,343,516,4,203546,7670,224,75408,184,1954173,695979,2807805,Europe
74,Venezuela,210116,954,2320,16,193089,14707,316,7407,82,3359014,118415,28366567,South America
75,Oman,202713,576,2148,10,186391,14174,255,38853,412,1550000,297082,5217409,Asia
76,Bosnia and Herzegovina,201512,295,8912,50,166887,25713,0,61752,2731,932033,285617,3263232,Africa
