,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33668931,39095,599314,733,26712821,6356796,8346,101203,1801,464099542,1395010,332685557,North America
2,India,24372243,326123,266229,3879,20426323,3679691,8944,17512,191,311324100,223692,1391753322,Asia
3,Brazil,15521313,84486,432785,2189,14028355,1060173,8318,72574,2024,46970130,219621,213868974,South America
4,France,5848154,7025,107423,173,5042584,698147,4352,89423,1643,80698552,1233944,65398877,Europe
5,Turkey,5095390,11394,44301,242,4894024,157065,2670,59858,520,50463016,592813,85124706,Europe
6,Russia,4922901,9462,115116,393,4537634,270151,2300,33721,789,132700000,908974,145988804,Asia
7,UK,4446824,2193,127668,17,4273441,45715,129,65207,1872,169007195,2478284,68195259,Europe
8,Italy,4146722,7567,123927,182,3683189,339606,1860,68672,2052,62405408,1033466,60384578,Europe
9,Spain,3604799,6347,79339,58,3297340,228120,1899,77074,1696,47213067,1009462,46770505,Europe
10,Germany,3585891,10247,86481,205,3259000,240410,4376,42681,1029,58093759,691457,84016407,Europe
11,Argentina,3269466,27363,69853,599,2913144,286469,5457,71770,1533,12224943,268356,45554984,South America
12,Colombia,3084460,16581,80250,490,2888990,115220,6582,60065,1563,15783446,307356,51352407,Europe
13,Poland,2849015,3289,71311,289,2589277,188427,1690,75350,1886,15078062,398779,37810599,South America
14,Iran,2732152,10145,76433,202,2196197,459522,5468,32172,900,17750149,209015,84922994,Asia
15,Mexico,2375115,3632,219901,311,1895483,259731,4798,18255,1690,6811363,52353,130105532,North America
16,Ukraine,2143448,7562,47620,287,1832601,263227,177,49269,1095,9790291,225037,43505197,Europe
17,Peru,1879049,5733,65608,292,1720665,92776,2685,56311,1966,11972376,358787,33369044,South America
18,Indonesia,1734285,2633,47823,107,1592886,93576,0,6283,173,15410887,55831,276027635,Asia
19,Czechia,1651188,1224,29879,21,1592136,29173,319,153939,2786,21004062,1958197,10726227,Europe
20,South Africa,1608393,3141,55124,112,1522165,31104,546,26826,919,11052993,184353,59955627,Africa
21,Netherlands,1589282,5515,17423,10,1351998,219861,722,92574,1015,13171698,767234,17167780,Europe
22,Canada,1318405,5991,24869,44,1220110,73426,1327,34669,654,33260624,874616,38028810,North America
23,Chile,1273516,6915,27647,127,1208396,37473,2976,66128,1436,13816198,717413,19258354,South America
24,Iraq,1134859,2767,15910,27,1034396,84553,457,27679,388,9840649,240012,41000676,Europe
25,Philippines,1131448,6765,18958,137,1053475,59015,1819,10208,171,12529921,113042,110842608,Asia
26,Romania,1070605,835,29413,105,1022029,19163,809,55976,1538,8626765,451048,19126034,Asia
27,Sweden,1037126,0,14275,36,878189,144662,341,102141,1406,8798383,866506,10153859,Europe
28,Belgium,1026473,2890,24645,15,905973,95855,657,88235,2118,13182705,1133180,11633375,Europe
29,Pakistan,873220,2517,19384,48,780438,73398,4330,3888,86,12380676,55125,224594312,Asia
30,Portugal,841379,450,16999,0,802285,22095,72,82724,1671,11091313,1090498,10170866,Europe
31,Israel,839079,20,6380,1,831950,749,73,91228,694,14487253,1575114,9197590,Asia
32,Hungary,796390,1190,29041,71,608891,158458,338,82621,3013,5607336,581732,9639032,Europe
33,Bangladesh,779535,848,12102,26,720471,46962,1149,4693,73,5698528,34306,166110142,Asia
34,Jordan,723069,315,9224,21,710445,3400,729,70263,896,6912958,671758,10290844,Asia
35,Serbia,705185,787,6646,17,673038,25501,101,80993,763,3989567,458214,8706771,Europe
36,Switzerland,679510,2300,10730,2,617283,51497,179,78020,1232,7273942,835176,8709474,Europe
37,Japan,665569,6896,11255,90,579446,74868,1209,5276,89,12913954,102378,126139908,Europe
38,Austria,635780,887,10455,11,612523,12802,322,70245,1155,35939913,3970842,9050956,Asia
39,UAE,543610,1452,1626,3,523778,18206,0,54395,163,46799807,4682882,9993805,Asia
40,Lebanon,534968,0,7569,0,492270,35129,333,78685,1113,4163257,612346,6798866,Africa
41,Morocco,514705,35,9092,1,502604,3009,94,13803,244,6370615,170844,37289158,Asia
42,Malaysia,462190,4113,1822,34,418897,41471,482,14124,56,10397529,317727,32724742,Asia
43,Nepal,439658,8467,4669,203,327653,107336,0,14859,158,2733510,92382,29589353,Europe
44,Saudi Arabia,431432,927,7134,12,415747,8551,1323,12228,202,17868871,506452,35282461,Asia
45,Bulgaria,413838,518,17243,49,361993,34602,504,59951,2498,2656622,384855,6902925,Europe
46,Ecuador,407002,1219,19514,72,342878,44610,572,22770,1092,1359491,76057,17874632,South America
47,Slovakia,387162,294,12168,33,370076,4918,214,70884,2228,2752948,504024,5461938,North America
48,Greece,373881,2169,11322,56,335156,27403,677,36024,1091,8772810,845264,10378778,Europe
49,Belarus,373351,1109,2681,10,363873,6797,0,39522,284,6050830,640528,9446623,Europe
50,Panama,370043,588,6292,4,358670,5081,105,84611,1439,2507280,573293,4373467,Europe
51,Kazakhstan,353140,2549,4017,33,310168,38955,221,18615,212,10691113,563549,18971060,Asia
52,Croatia,349084,926,7664,41,334206,7214,207,85492,1877,1912994,468499,4083243,Asia
53,Azerbaijan,328994,326,4754,12,312460,11780,0,32196,465,3368394,329642,10218336,Asia
54,Georgia,327831,1390,4397,18,307334,16100,0,82318,1104,4511631,1132860,3982513,South America
55,Bolivia,327224,2356,13409,64,267973,45842,158,27706,1135,1287762,109033,11810731,Asia
56,Tunisia,325280,457,11727,34,286230,27323,445,27276,983,1380132,115728,11925686,Africa
57,Paraguay,309638,2181,7482,55,256345,45811,590,42955,1038,1182111,163992,7208345,Asia
58,Palestine,303270,0,3401,0,288891,10978,78,58281,654,1784690,342970,5203627,North America
59,Kuwait,290006,763,1681,7,275745,12580,190,67051,389,2446116,565554,4325171,Asia
60,Costa Rica,282741,2815,3547,33,221903,57291,489,55068,691,1083035,210937,5134409,South America
61,Dominican Republic,275378,1059,3565,5,232925,38888,275,25167,326,1468228,134181,10942105,Europe
62,Ethiopia,265413,453,3964,13,217370,44079,620,2260,34,2644565,22523,117416656,Africa
63,Denmark,264465,951,2499,0,249487,12479,33,45520,430,45701715,7866179,5809900,Europe
64,Lithuania,263583,1233,4086,14,237431,22066,158,98016,1519,3074012,1143104,2689180,Europe
65,Ireland,254870,420,4941,4,237168,12761,39,51122,991,4729538,948653,4985528,Europe
66,Moldova,253567,181,6006,11,244487,3074,160,62985,1492,1040432,258440,4025815,Europe
