,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
1,USA,33773783,27672,601313,734,27253327,5919143,7747,101511,1807,468068102,1406827,332712023,North America
2,India,25495144,267174,283276,4525,21979703,3232165,8944,18316,204,318292881,228669,1391938524,Asia
3,Brazil,15735485,74379,439379,2517,14247609,1048497,8318,73568,2054,47073060,220081,213889584,South America
4,France,5898347,17210,108040,198,5181684,608623,4015,90188,1652,81932887,1252780,65400845,Europe
5,Turkey,5139485,11937,45186,203,4971245,123054,2232,60367,531,51294008,602487,85137097,Europe
6,Russia,4957756,8183,116575,364,4572226,268955,2300,33960,799,134000000,917873,145989656,Asia
7,UK,4449831,2412,127691,7,4281947,40193,125,65247,1872,171398433,2513169,68200120,Europe
8,Italy,4167019,4446,124497,201,3727220,315302,1689,69009,2062,63284455,1048044,60383369,Europe
9,Spain,3619848,3988,79502,70,3342024,198322,1774,77396,1700,48928535,1046135,46770751,Europe
10,Germany,3615896,7604,87148,278,3320300,208448,4015,43036,1037,58093759,691427,84020058,Europe
11,Argentina,3371508,35543,71771,744,2992325,307412,5813,74000,1575,12602579,276611,45560644,South America
12,Colombia,3144547,13137,82291,482,2947661,114595,6582,61226,1602,15998997,311508,51359811,Europe
13,Poland,2856917,1727,71921,246,2609216,175780,1418,75560,1902,15276880,404043,37810035,South America
14,Iran,2779415,13930,77532,310,2258046,443837,5173,32723,913,18285393,215280,84937680,Asia
15,Mexico,2382745,822,220489,56,1903494,258762,4798,18311,1694,6856267,52690,130124027,North America
16,Ukraine,2160095,4095,48469,285,1882344,229282,177,49655,1114,9882447,227174,43501627,Europe
17,Peru,1897900,4566,66770,299,1720665,110465,2655,56865,2001,12173032,364732,33375320,South America
18,Indonesia,1748230,4185,48477,172,1612239,87514,0,6333,176,15653438,56702,276067124,Asia
19,Czechia,1654225,1133,29948,20,1602814,21463,239,154219,2792,21701619,2023178,10726498,Europe
20,South Africa,1617840,2355,55340,80,1527968,34532,546,26979,923,11166950,186222,59965841,Africa
21,Netherlands,1606319,5326,17473,17,1386377,202469,649,93563,1018,13524699,787772,17168296,Europe
22,Canada,1338141,4033,25018,35,1248382,64741,1344,35183,658,33668274,885231,38033326,North America
23,Chile,1295862,3766,27965,31,1231047,36850,2979,67280,1452,14043876,729151,19260593,South America
24,Philippines,1154371,4470,19371,109,1082627,52373,1819,10413,175,12694238,114504,110862535,Europe
25,Iraq,1146948,4023,16029,34,1056885,74034,475,27965,391,9929858,242115,41013036,Asia
26,Romania,1072972,681,29662,91,1027412,15898,716,56105,1551,8721739,456056,19124290,Asia
27,Sweden,1051762,4631,14311,0,899766,137685,306,103574,1409,9481745,933728,10154718,Europe
28,Belgium,1032895,972,24723,14,922277,85895,616,88782,2125,13306670,1143768,11634063,Europe
29,Pakistan,882928,2566,19752,135,795511,67665,4361,3930,88,12510568,55688,224653004,Asia
30,Portugal,842767,386,17011,2,803759,21997,66,82864,1673,11233120,1104485,10170462,Europe
31,Israel,839167,8,6392,3,832144,631,60,91238,695,14487253,1575114,9197590,Asia
32,Hungary,798955,382,29277,64,640964,128714,251,82890,3037,5656131,586815,9638698,Europe
33,Bangladesh,782129,1272,12211,30,724209,45709,1156,4708,74,5734918,34520,166132540,Asia
34,Jordan,726432,1174,9295,19,710445,6692,729,70581,903,7001979,680317,10292227,Asia
35,Serbia,707719,686,6710,14,681248,19761,86,81288,771,4030710,462965,8706292,Europe
36,Japan,687473,3328,11624,116,602356,73493,1235,5450,92,13220299,104811,126134642,Europe
37,Switzerland,683400,1240,10751,7,624189,48460,174,78459,1234,7360542,845035,8710337,Europe
38,Austria,638155,582,10499,19,618798,8858,275,70501,1160,36840818,4070064,9051656,Asia
39,UAE,548681,1270,1637,4,528769,18275,0,54893,164,47264038,4728561,9995437,Asia
40,Lebanon,536554,600,7641,10,502762,26151,305,78923,1124,4224382,621374,6798451,Africa
41,Morocco,515420,397,9105,1,503861,2454,112,13820,244,6396074,171499,37295133,Asia
42,Malaysia,479421,4865,1994,47,432600,44827,531,14648,61,10663780,325807,32730407,Asia
43,Nepal,472354,8136,5411,196,352414,114529,0,15960,183,2812959,95044,29596521,Europe
44,Saudi Arabia,435026,1046,7188,14,419761,8077,1384,12327,204,18106104,513068,35289873,Asia
45,Bulgaria,415326,457,17379,36,367464,30483,485,60173,2518,2698506,390962,6902215,Europe
46,Ecuador,411466,596,19877,91,354499,37090,599,23015,1112,1374244,76867,17878294,South America
47,Slovakia,387892,233,12248,10,371371,4273,188,71017,2242,2772844,507663,5461974,North America
48,Greece,381266,2781,11534,63,340612,29120,639,36738,1111,8950025,862397,10378085,Europe
49,Belarus,378711,1179,2721,10,368832,7158,0,40090,288,6113124,647126,9446581,Europe
50,Panama,371684,539,6300,3,359848,5536,105,84968,1440,2537845,580159,4374396,Europe
51,Kazakhstan,362030,1837,4095,22,320241,37694,221,19080,216,10989671,579192,18974127,Asia
52,Croatia,350997,491,7765,27,338361,4871,166,85968,1902,1937595,474564,4082899,Asia
53,Bolivia,334824,2257,13566,49,273403,47855,200,28344,1148,1319283,111681,11812907,Asia
54,Georgia,332441,1562,4499,30,312349,15593,0,83477,1130,4621001,1160353,3982409,South America
55,Azerbaijan,330701,432,4802,10,316439,9460,0,32360,470,3404046,333090,10219584,Asia
56,Tunisia,328528,1055,11971,72,290282,26275,445,27544,1004,1397361,117156,11927375,Africa
57,Paraguay,318251,2704,7802,110,264326,46123,570,44143,1082,1206320,167323,7209542,Asia
58,Palestine,304074,0,3437,0,293808,6829,66,58417,660,1793407,344538,5205251,North America
59,Kuwait,293574,1084,1701,5,279924,11949,182,67862,393,2477308,572651,4326035,Asia
60,Costa Rica,290920,2294,3673,48,225158,62089,499,56654,715,1093074,212866,5135044,South America
61,Dominican Republic,278549,630,3597,8,234370,40582,302,25453,329,1487136,135891,10943590,Europe
62,Denmark,268255,916,2503,0,252686,13066,23,46170,431,47951266,8252977,5810178,Africa
63,Ethiopia,267100,454,4021,13,221451,41628,558,2274,34,2661450,22659,117455676,Europe
64,Lithuania,266858,748,4127,11,242103,20628,191,99253,1535,3129567,1163985,2688665,Europe
65,Ireland,256390,358,4941,0,238567,12882,39,51419,991,4729538,948510,4986281,Europe
66,Moldova,254075,121,6043,9,245263,2769,134,63113,1501,1054956,262056,4025687,Europe
67,Slovenia,249921,497,4333,6,238517,7071,113,120201,2084,1236479,594693,2079190,North America
68,Egypt,248078,1169,14441,53,182693,50944,90,2385,139,2715258,26101,104027039,Africa
