,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
0,,World,"144,133,088","+588,907","3,064,673","+7,692","122,586,006","+432,002","18,482,409","109,445","18,491",393.2,,,,All,"
",,
1,1,USA,"32,551,107","+14,637","582,665 ",+209,"25,108,546","+3,011","6,859,896","10,036","97,881","1,752","432,173,530","1,299,541","332,558,517 ",North America,10,571,1
2,2,India,"15,880,534","+271,530","184,168 ","+1,598","13,405,177","+135,314","2,291,189","8,944","11,418",132,"271,053,392","194,881","1,390,864,355 ",Asia,88,"7,552",5
3,3,Brazil,"14,050,885",,"378,530 ",,"12,561,689",,"1,110,666","8,318","65,729","1,771","28,600,000","133,789","213,770,046 ",South America,15,565,7
4,4,France,"5,339,920",,"101,597 ",,"4,181,006",,"1,057,317","5,984","81,663","1,554","72,873,077","1,114,447","65,389,433 ",Europe,12,644,1
5,5,Russia,"4,727,125","+8,271","106,706 ",+399,"4,352,873","+9,644","267,546","2,300","32,381",731,"126,500,000","866,529","145,984,714 ",Europe,31,"1,368",1
6,6,Turkey,"4,446,591","+61,967","36,975 ",+362,"3,844,342","+52,213","565,274","3,398","52,273",435,"44,728,595","525,815","85,065,229 ",Asia,19,"2,301",2
7,7,UK,"4,395,703","+2,396","127,327 ",+22,"4,166,734","+5,301","101,642",300,"64,480","1,868","146,043,397","2,142,281","68,171,922 ",Europe,16,535,0
8,8,Italy,"3,904,899","+13,844","117,997 ",+364,"3,311,267","+20,552","475,635","3,076","64,661","1,954","55,885,251","925,400","60,390,385 ",Europe,15,512,1
9,9,Spain,"3,446,072","+10,232","77,364 ",+148,"3,151,587","+4,306","217,121","2,288","73,682","1,654","44,374,223","948,789","46,769,321 ",Europe,14,605,1
10,10,Germany,"3,200,025","+19,215","81,308 ",+222,"2,824,100","+20,500","294,617","4,932","38,096",968,"52,737,238","627,833","83,998,886 ",Europe,26,"1,033",2
11,11,Argentina,"2,743,620",,"59,792 ",,"2,407,853",,"275,975","4,366","60,263","1,313","10,320,622","226,688","45,527,815 ",South America,17,761,4
12,12,Poland,"2,718,493","+13,926","63,473 ",+740,"2,366,230","+11,578","288,790","3,265","71,892","1,679","13,767,550","364,093","37,813,307 ",Europe,14,596,3
13,13,Colombia,"2,684,101",,"69,177 ",,"2,505,738",,"109,186","5,306","52,304","1,348","13,978,773","272,401","51,316,864 ",South America,19,742,4
14,14,Iran,"2,311,813","+24,886","67,913 ",+388,"1,823,958","+13,427","419,942","4,991","27,245",800,"14,739,719","173,710","84,852,500 ",Asia,37,"1,249",6
15,15,Mexico,"2,311,172","+4,262","213,048 ",+582,"1,836,377","+3,245","261,747","4,798","17,776","1,639","6,438,267","49,519","130,016,760 ",North America,56,610,20
16,16,Ukraine,"1,974,118","+12,162","40,796 ",+429,"1,514,472","+14,720","418,850",177,"45,359",937,"8,996,039","206,699","43,522,336 ",Europe,22,"1,067",5
